Clave,Fecha,Almacenamiento
ARLSO,2006-12-18,15.88
PMOSO,2006-12-18,13.39
ARCSO,2006-12-18,527.62
AGZCH,2006-12-18,82.42
AOBSO,2006-12-18,1240
PECSO,2006-12-18,2187.39
LCDSO,2006-12-18,729.59
IRASO,2006-12-18,9.58
LCDSO,2006-12-19,728.82
PECSO,2006-12-19,2182.14
AOBSO,2006-12-19,1236.32
AGZCH,2006-12-19,82.35
ARCSO,2006-12-19,524.9
PMOSO,2006-12-19,13.39
ARLSO,2006-12-19,15.57
CHTSO,2006-12-19,17.64
IRASO,2006-12-19,9.56
CHTSO,2006-12-20,17.64
ARLSO,2006-12-20,15.37
PMOSO,2006-12-20,13.33
ARCSO,2006-12-20,522.64
AGZCH,2006-12-20,82.29
AOBSO,2006-12-20,1245.82
PECSO,2006-12-20,2175.16
LCDSO,2006-12-20,728.04
IRASO,2006-12-20,9.53
LCDSO,2006-12-21,727.26
PECSO,2006-12-21,2171.67
AOBSO,2006-12-21,1249.7
AGZCH,2006-12-21,82.23
ARCSO,2006-12-21,520.38
PMOSO,2006-12-21,13.33
ARLSO,2006-12-21,15.17
CHTSO,2006-12-21,17.64
IRASO,2006-12-21,9.5
CHTSO,2006-12-22,17.64
ARLSO,2006-12-22,14.96
PMOSO,2006-12-22,13.3
ARCSO,2006-12-22,518.12
AGZCH,2006-12-22,82.16
AOBSO,2006-12-22,1252.61
PECSO,2006-12-22,2165.58
LCDSO,2006-12-22,726.87
IRASO,2006-12-22,9.48
LCDSO,2006-12-23,726.87
PECSO,2006-12-23,2154.3
AOBSO,2006-12-23,1254.55
AGZCH,2006-12-23,82.1
ARCSO,2006-12-23,515.86
PMOSO,2006-12-23,13.24
ARLSO,2006-12-23,14.66
CHTSO,2006-12-23,17.64
IRASO,2006-12-23,9.45
CHTSO,2006-12-24,17.64
ARLSO,2006-12-24,14.46
PMOSO,2006-12-24,13.21
ARCSO,2006-12-24,514.05
AGZCH,2006-12-24,82.04
AOBSO,2006-12-24,1257.46
PECSO,2006-12-24,2144.79
LCDSO,2006-12-24,726.48
IRASO,2006-12-24,9.32
LCDSO,2006-12-25,726.48
PECSO,2006-12-25,2144.79
AOBSO,2006-12-25,1264.25
AGZCH,2006-12-25,81.98
ARCSO,2006-12-25,512.24
PMOSO,2006-12-25,13.21
ARLSO,2006-12-25,14.25
CHTSO,2006-12-25,17.6
IRASO,2006-12-25,9.24
CHTSO,2006-12-26,17.6
ARLSO,2006-12-26,14.05
PMOSO,2006-12-26,13.21
ARCSO,2006-12-26,510.43
AGZCH,2006-12-26,81.91
AOBSO,2006-12-26,1269.1
PECSO,2006-12-26,2132.73
LCDSO,2006-12-26,726.48
IRASO,2006-12-26,9.17
LCDSO,2006-12-27,725.7
PECSO,2006-12-27,2128.44
AOBSO,2006-12-27,1278.8
AGZCH,2006-12-27,81.85
ARCSO,2006-12-27,508.7
PMOSO,2006-12-27,13.21
ARLSO,2006-12-27,13.85
CHTSO,2006-12-27,17.58
IRASO,2006-12-27,9.04
CHTSO,2006-12-28,17.58
ARLSO,2006-12-28,13.7
PMOSO,2006-12-28,13.21
ARCSO,2006-12-28,506.57
AGZCH,2006-12-28,81.79
AOBSO,2006-12-28,1280.74
PECSO,2006-12-28,2124.15
LCDSO,2006-12-28,725.31
IRASO,2006-12-28,8.91
LCDSO,2006-12-29,724.93
PECSO,2006-12-29,2119.01
AOBSO,2006-12-29,1280.74
AGZCH,2006-12-29,81.76
ARCSO,2006-12-29,505.3
PMOSO,2006-12-29,13.21
ARLSO,2006-12-29,13.55
CHTSO,2006-12-29,17.58
IRASO,2006-12-29,8.75
CHTSO,2006-12-30,17.56
ARLSO,2006-12-30,13.4
PMOSO,2006-12-30,13.24
ARCSO,2006-12-30,504.02
AGZCH,2006-12-30,81.79
AOBSO,2006-12-30,1285.59
PECSO,2006-12-30,2113.88
LCDSO,2006-12-30,724.93
IRASO,2006-12-30,8.6
LCDSO,2006-12-31,724.93
PECSO,2006-12-31,2109.61
AOBSO,2006-12-31,1289.4
AGZCH,2006-12-31,81.79
ARCSO,2006-12-31,503.67
PMOSO,2006-12-31,13.24
ARLSO,2006-12-31,13.25
CHTSO,2006-12-31,17.56
IRASO,2006-12-31,8.57
CHTSO,2007-01-01,17.56
ARLSO,2007-01-01,13.1
PMOSO,2007-01-01,13.24
ARCSO,2007-01-01,501.89
AGZCH,2007-01-01,81.79
AOBSO,2007-01-01,1293.35
PECSO,2007-01-01,2105.35
LCDSO,2007-01-01,724.54
IRASO,2007-01-01,8.55
LCDSO,2007-01-02,723.76
PECSO,2007-01-02,2090.09
AOBSO,2007-01-02,1298.2
AGZCH,2007-01-02,81.79
ARCSO,2007-01-02,501.04
PMOSO,2007-01-02,13.24
ARLSO,2007-01-02,12.95
CHTSO,2007-01-02,17.56
IRASO,2007-01-02,8.55
CHTSO,2007-01-03,17.56
ARLSO,2007-01-03,12.95
PMOSO,2007-01-03,13.24
ARCSO,2007-01-03,500.19
AGZCH,2007-01-03,81.79
AOBSO,2007-01-03,1296.26
PECSO,2007-01-03,2091.76
LCDSO,2007-01-03,722.98
IRASO,2007-01-03,8.49
LCDSO,2007-01-04,722.2
PECSO,2007-01-04,2084.14
AOBSO,2007-01-04,1300.14
AGZCH,2007-01-04,81.79
ARCSO,2007-01-04,499.34
PMOSO,2007-01-04,13.24
ARLSO,2007-01-04,12.87
CHTSO,2007-01-04,17.56
IRASO,2007-01-04,8.47
CHTSO,2007-01-05,17.6
ARLSO,2007-01-05,12.79
PMOSO,2007-01-05,13.24
ARCSO,2007-01-05,498.48
AGZCH,2007-01-05,81.79
AOBSO,2007-01-05,1308.87
PECSO,2007-01-05,2076.54
LCDSO,2007-01-05,721.81
IRASO,2007-01-05,8.42
LCDSO,2007-01-06,721.43
PECSO,2007-01-06,2068.12
AOBSO,2007-01-06,1314.69
AGZCH,2007-01-06,81.79
ARCSO,2007-01-06,497.21
PMOSO,2007-01-06,13.24
ARLSO,2007-01-06,12.64
CHTSO,2007-01-06,17.6
IRASO,2007-01-06,8.37
CHTSO,2007-01-07,17.58
ARLSO,2007-01-07,12.49
PMOSO,2007-01-07,13.24
ARCSO,2007-01-07,496.35
AGZCH,2007-01-07,81.8
AOBSO,2007-01-07,1319.54
PECSO,2007-01-07,2058.81
LCDSO,2007-01-07,720.65
IRASO,2007-01-07,8.31
